date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:17	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Oct%202025%2001:17:18%20GMT	https://avvpersonas-cupos-liquidez.vercel.app/robots.txt		(from )
20:17:17	21925/21925	---MCZ	200	added ('OK')	text/html	etag:W/%22c6969fde462e9942cad1588ffd11ab13%22	https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/?	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/avvpersonas-cupos-liquidez.vercel.app/monitoreo/indexd41d.html	(from )
20:17:18	37478/37478	---MCZ	200	added ('OK')	text/css	etag:W/%2266e47324-9266%22	https://sapp2406.sirv.com/bogo/lfr_style.css	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/sapp2406.sirv.com/bogo/lfr_style.css	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/?)
20:17:20	3100/3100	---MCZ	200	added ('OK')	text/css	etag:W/%2266e47324-c1c%22	https://sapp2406.sirv.com/bogo/lfr_ownstyle.css	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/sapp2406.sirv.com/bogo/lfr_ownstyle.css	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/?)
20:17:20	89476/89476	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/?)
20:17:22	6974/6974	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dee23705b2aebc4551d51b0d66f387b9%22	https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/imagenes/logo-bancolombia-black.svg	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/avvpersonas-cupos-liquidez.vercel.app/monitoreo/imagenes/logo-bancolombia-black.svg	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/?)
20:17:23	2270/2270	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222adcc2c10e69215ca57bf7517ad4fe6e%22	https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/imagenes/06.svg	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/avvpersonas-cupos-liquidez.vercel.app/monitoreo/imagenes/06.svg	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/?)
20:17:24	20008/20008	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22550430ad62d46f52ec53983b8fe18b5f%22	https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/imagenes/super-horizontal-black.svg	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/avvpersonas-cupos-liquidez.vercel.app/monitoreo/imagenes/super-horizontal-black.svg	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/?)
20:17:25	20948/20948	---MCZ	200	added ('OK')	text/html	etag:W/%2228b76508b50ed79c6590f6d2b640d19a%22	https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/load.html	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/avvpersonas-cupos-liquidez.vercel.app/monitoreo/load.html	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/?)
20:17:25	3994/3994	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22f9a-dltdL9W+uQlreOx3nogGOg%22	https://sapp2406.sirv.com/assets/fonts/icons-bbogota/styles.css	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/sapp2406.sirv.com/assets/fonts/icons-bbogota/styles.css	(from https://sapp2406.sirv.com/bogo/lfr_style.css)
20:17:25	3983/3983	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22f8f-glGkyXBFVEfQV1Zl3qMItA%22	https://sapp2406.sirv.com/assets/images/vigilado.jpg	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/sapp2406.sirv.com/assets/images/vigilado.jpg	(from https://sapp2406.sirv.com/bogo/lfr_style.css)
20:17:25	1210/1210	---M--	200	added ('OK')	image/png	etag:%2267fd0660-4ba%22	https://sapp2406.sirv.com/bogo/icon-pass.png	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/sapp2406.sirv.com/bogo/icon-pass.png	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/load.html)
20:17:26	1335/1335	---M--	200	added ('OK')	image/png	etag:%2267fd0660-537%22	https://sapp2406.sirv.com/bogo/icon-device.png	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/sapp2406.sirv.com/bogo/icon-device.png	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/load.html)
20:17:26	13448/13448	---MCZ	200	added ('OK')	text/html	etag:W/%22f38de57ee36c9734f23a53a8b0d456d6%22	https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/token.html	C:/Mis%20lugares%20Web/proyecto%205%20bancobogota/avvpersonas-cupos-liquidez.vercel.app/monitoreo/token.html	(from https://avvpersonas-cupos-liquidez.vercel.app/monitoreo/load.html)
